Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
27/04/2015,29.6244,21.9280,28.1713,81.5258,41.4534,0.5348,15.4367
28/04/2015,29.1577,21.4655,28.0842,80.3015,42.4287,0.5375,15.3653
29/04/2015,28.7289,21.4685,27.9359,80.0925,42.3424,0.5334,15.4967
30/04/2015,27.9495,21.0890,27.3079,78.4005,41.9799,0.5348,15.0700
01/05/2015,28.7981,21.1435,27.4269,78.6195,41.9971,0.5481,15.0687
04/05/2015,28.7423,21.1520,27.5105,78.4403,41.6347,0.5447,15.3673
05/05/2015,28.0946,21.0595,27.0228,77.1962,41.0823,0.5307,15.5300
06/05/2015,27.9182,20.9550,26.6267,77.7336,39.9430,0.5324,15.3620
07/05/2015,28.0909,21.3440,26.9730,78.0621,40.3055,0.5418,15.7867
08/05/2015,28.6201,21.6845,27.3169,78.1417,41.2118,0.5018,15.7740
11/05/2015,28.3286,21.6425,27.1592,77.6441,40.8838,0.4970,15.9660
12/05/2015,28.2277,21.5510,26.8083,77.0966,40.8665,0.5018,16.3160
13/05/2015,28.2591,21.3435,26.8461,78.0720,41.1082,0.5047,16.2120
14/05/2015,28.9184,21.6140,27.3293,80.9883,42.0489,0.5129,16.2733
15/05/2015,28.8780,21.3000,27.1945,80.0428,41.6864,0.5131,16.5893
18/05/2015,29.1965,21.2620,27.2034,80.5006,41.4361,0.5124,16.5833
19/05/2015,29.1696,21.0855,27.3333,80.2518,41.3319,0.5092,16.4760
20/05/2015,29.1673,21.1930,27.4941,80.1721,41.3319,0.5092,16.2900
21/05/2015,29.4656,21.5815,27.7080,80.1025,41.1929,0.5056,16.3747
22/05/2015,29.7235,21.3815,27.5941,80.1622,40.7412,0.5049,16.5153
26/05/2015,29.0686,21.2735,27.2293,78.9579,40.4719,0.5017,16.4973
27/05/2015,29.6114,21.5710,27.5806,80.1721,41.3580,0.5286,16.4953
28/05/2015,29.5530,21.3285,27.5772,79.7740,41.2190,0.5359,16.7633
29/05/2015,29.2167,21.4615,27.1363,78.8185,40.7065,0.5356,16.7200
01/06/2015,29.2750,21.5460,27.3298,79.9134,41.0279,0.5417,16.6300
02/06/2015,29.1449,21.5495,27.5657,80.0627,40.7586,0.5310,16.5567
