Date,AGG,BIL,BND,EDV,IEF,IEI,SGOV,SHV,SHY,TLH,TLT,VGIT
27/04/2015,85.9836,77.0992,63.0963,88.74,88.3638,104.4767,0,92.2498,72.1046,107.5325,99.9143,52.7527
28/04/2015,85.6522,77.0992,62.8995,86.9798,87.9564,104.2247,0,92.2582,72.0707,106.7718,98.5364,52.5836
29/04/2015,85.4594,77.0992,62.7026,85.4222,87.6305,104.1239,0,92.2498,72.0792,106.1275,97.3288,52.4549
30/04/2015,85.4594,77.0992,62.7707,85.5759,87.6061,104.0986,0,92.2582,72.0707,106.2051,97.4991,52.5112
1/5/2015,85.2169,77.0823,62.5803,83.9066,87.1271,103.7673,0,92.2498,72.0409,105.4267,96.1866,52.2742
4/5/2015,85.0548,77.0992,62.4893,82.8519,86.9476,103.742,0,92.2582,72.0409,105.0457,95.2791,52.2823
5/5/2015,84.9775,77.0992,62.3907,82.4957,86.8007,103.6495,0,92.2666,72.0239,104.9522,95.1472,52.2098
6/5/2015,84.6918,77.0992,62.2163,80.2606,86.3765,103.4392,0,92.2582,71.9985,104.128,93.5183,52.0889
7/5/2015,84.9003,77.0823,62.3452,81.9718,86.7436,103.557,0,92.2666,71.9729,104.8201,94.7749,52.1292
8/5/2015,85.1783,77.0992,62.5121,82.2512,87.0781,103.9019,0,92.2666,72.0749,105.1778,95.0309,52.3226
11/5/2015,84.6377,77.0823,62.1859,79.4154,86.2214,103.4392,0,92.2582,72.007,103.9024,92.7193,52.0728
12/5/2015,84.63,77.0992,62.11,79.5761,86.2867,103.4813,0,92.2666,72.0155,103.9647,92.9597,52.0647
13/05/2015,84.6223,77.0992,62.0797,78.4865,86.1725,103.4897,0,92.2582,72.0495,103.677,92.2151,52.0889
14/05/2015,84.7535,77.0823,62.201,78.703,86.4662,103.7505,0,92.2582,72.1174,104.058,92.4633,52.2098
15/05/2015,85.1088,77.0823,62.4514,80.9311,87.0863,104.0112,0,92.2582,72.1174,105.1,94.3172,52.3871
18/05/2015,84.7844,77.0823,62.2238,79.1849,86.4989,103.7252,0,92.2582,72.0749,104.1669,92.7348,52.2098
19/05/2015,84.4909,77.0823,62.0873,78.0744,86.1154,103.3804,0,92.2582,72.0324,103.677,91.9126,52.0083
20/05/2015,84.6223,77.0823,62.0873,78.2979,86.303,103.5654,0,92.2582,72.0579,103.9102,92.0677,52.1372
21/05/2015,84.8849,77.0992,62.2845,79.8206,86.817,103.8345,0,92.2582,72.0834,104.6724,93.3553,52.2581
22/05/2015,84.7922,77.0992,62.2466,79.9323,86.6212,103.7,0,92.2582,72.0324,104.5635,93.3941,52.1695
26/05/2015,85.0006,77.0992,62.3983,81.9159,87.1598,103.8598,0,92.2582,72.0409,105.31,94.9921,52.3387
27/05/2015,85.0856,77.0992,62.4287,82.1953,87.1108,103.843,0,92.2582,72.0495,105.5278,95.2093,52.3065
28/05/2015,85.0548,77.0823,62.4363,82.0906,87.1924,103.9607,0,92.2666,72.0834,105.38,94.9766,52.379
29/05/2015,85.0856,77.0823,62.459,82.4608,87.2413,104.028,0,92.2582,72.1004,105.66,95.186,52.4677
1/6/2015,84.8504,77.0823,62.2507,81.2734,86.8564,103.7906,0,92.2582,72.0554,105.0094,94.163,52.2465
2/6/2015,84.5177,77.0992,62.0759,79.4783,86.2517,103.5126,0,92.2582,72.0469,104.1603,92.8492,52.0529
3/6/2015,84.185,77.0992,61.8023,77.6134,85.5162,103.1253,0,92.2666,72.0214,103.0384,91.3567,51.835
4/6/2015,84.363,77.0823,61.9543,79.0802,85.9329,103.3189,0,92.2582,72.0299,103.763,92.5461,51.9802
5/6/2015,83.9915,77.0823,61.711,77.788,85.3118,102.8979,0,92.2498,71.9619,102.9683,91.4189,51.7139
