Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
27/04/2015,46.1407,40.5450,26.0862,50.8638,178.2118,91.9344,109.0662,102.1218,69.2554,11.4075,177.3363,31.1587,99.1861,66.8256,111.2316,161.9208,92.1034,65.8033,100.0777,33.4467,39.8261,54.6704,16.2256,12.5248,38.2764
28/04/2015,46.1855,40.6753,26.1876,51.1999,178.6989,91.9253,109.6708,101.9180,69.4495,11.4617,177.9000,31.2105,99.2943,66.9817,111.2059,162.4236,92.3479,66.2516,99.8132,33.5287,39.8707,54.9441,16.3195,12.5922,38.4003
29/04/2015,45.8044,40.2230,26.0364,50.6398,178.0020,91.4438,108.4791,101.2789,69.1626,11.4075,177.1680,30.9366,98.8347,66.5956,110.8116,161.7615,91.9433,66.0738,99.3024,33.1708,39.5664,55.3714,16.3128,12.5490,38.2145
30/04/2015,45.3337,39.7401,25.7409,49.6875,176.2050,90.3627,106.1834,99.6859,68.6481,11.3163,175.3927,30.6257,97.2217,65.9550,109.8858,160.1524,90.9488,65.5173,98.0984,32.7309,39.1656,55.1978,16.1853,12.4176,37.6835
01/05/2015,45.7447,39.8934,25.9368,49.9848,178.1110,91.3984,106.8756,101.0011,69.3482,11.4161,177.2942,30.8848,98.4652,66.6614,111.2231,161.8286,91.7831,66.1434,99.2933,32.9248,39.4699,55.3247,16.3262,12.5188,38.1437
04/05/2015,45.7745,40.1080,26.0347,50.1141,178.6821,91.5528,107.2612,101.1678,69.5928,11.4275,177.7991,30.9144,98.5373,66.8256,111.5402,162.3314,92.1034,66.4062,99.4392,33.0888,39.5441,55.1845,16.4872,12.5801,38.1791
05/05/2015,45.1170,39.7171,25.7237,49.5884,176.6165,90.3990,105.8942,99.5192,68.7409,11.3249,175.7629,30.4480,96.9964,66.1439,110.1258,160.4374,91.0078,65.6874,98.0528,32.7458,39.0023,54.5035,16.3396,12.4384,37.5861
06/05/2015,45.2141,39.2495,25.7254,49.6875,175.8860,90.1083,106.2622,98.8338,68.5047,11.2793,175.0393,30.5146,96.4467,65.9632,109.9030,159.7921,90.7549,65.4478,97.8247,32.3134,38.9800,54.2899,16.2591,12.3615,37.2675
07/05/2015,45.0722,39.1268,25.8113,49.9029,176.5745,90.5080,106.6653,99.4266,68.6649,11.3135,175.7377,30.4110,97.1406,66.3000,110.2887,160.4374,91.1005,65.6256,98.3629,32.2686,38.8242,53.7024,16.3731,12.4176,37.5419
08/05/2015,46.1257,39.6634,26.0484,50.2175,178.8752,91.6437,107.4627,100.6677,69.5085,11.4588,178.0514,31.0699,98.5103,67.0638,111.3859,162.5409,92.2467,66.5298,99.5851,32.7607,39.5886,54.5836,16.6079,12.6104,38.0817
