Date,GLD,IBIT,SLV
27/04/2015,115.3300,0.0000,15.6600
28/04/2015,116.3300,0.0000,15.8700
29/04/2015,115.5100,0.0000,15.8100
30/04/2015,113.4700,0.0000,15.4300
01/05/2015,113.0800,0.0000,15.4700
04/05/2015,114.1000,0.0000,15.7000
05/05/2015,114.4200,0.0000,15.8100
06/05/2015,114.3600,0.0000,15.7700
07/05/2015,113.4200,0.0000,15.6000
08/05/2015,113.9700,0.0000,15.7600
11/05/2015,113.5300,0.0000,15.5700
12/05/2015,114.5000,0.0000,15.8100
13/05/2015,116.5500,0.0000,16.3500
14/05/2015,117.1800,0.0000,16.6500
15/05/2015,117.5300,0.0000,16.7500
18/05/2015,117.5200,0.0000,16.8900
19/05/2015,115.8900,0.0000,16.3800
20/05/2015,116.0800,0.0000,16.3700
21/05/2015,115.6900,0.0000,16.3900
22/05/2015,115.6000,0.0000,16.3400
26/05/2015,113.9100,0.0000,16.0200
27/05/2015,113.8900,0.0000,15.9600
28/05/2015,114.0200,0.0000,15.9700
29/05/2015,114.1000,0.0000,15.9900
01/06/2015,114.0000,0.0000,16.0000
02/06/2015,114.4600,0.0000,16.0700
03/06/2015,113.6400,0.0000,15.8300
04/06/2015,112.8400,0.0000,15.4800
05/06/2015,112.2400,0.0000,15.3900
08/06/2015,112.5700,0.0000,15.3200
09/06/2015,112.8200,0.0000,15.2900
10/06/2015,113.7800,0.0000,15.3200
11/06/2015,113.2600,0.0000,15.3300
12/06/2015,113.2300,0.0000,15.2500
15/06/2015,113.7300,0.0000,15.4000
16/06/2015,113.3200,0.0000,15.3200
17/06/2015,113.8500,0.0000,15.4500
18/06/2015,115.3200,0.0000,15.4600
19/06/2015,115.1200,0.0000,15.4200
22/06/2015,113.6400,0.0000,15.4900
23/06/2015,112.8900,0.0000,15.1400
24/06/2015,112.5900,0.0000,15.1900
25/06/2015,112.4400,0.0000,15.1700
26/06/2015,112.5600,0.0000,15.1100
29/06/2015,113.0700,0.0000,15.0300
30/06/2015,112.3700,0.0000,15.0300
01/07/2015,111.9800,0.0000,14.9000
02/07/2015,111.7600,0.0000,14.9500
06/07/2015,112.0600,0.0000,14.9900
07/07/2015,110.7600,0.0000,14.4300
08/07/2015,111.0900,0.0000,14.4600
09/07/2015,111.3600,0.0000,14.7600
10/07/2015,111.4900,0.0000,14.8800
13/07/2015,110.9900,0.0000,14.8100
14/07/2015,110.7400,0.0000,14.6900
15/07/2015,110.1600,0.0000,14.4300
16/07/2015,109.7600,0.0000,14.3500
17/07/2015,108.6500,0.0000,14.2300
20/07/2015,105.7000,0.0000,14.0500
21/07/2015,105.3700,0.0000,14.1400
22/07/2015,104.8000,0.0000,14.1400
23/07/2015,104.3300,0.0000,14.0000
24/07/2015,105.3500,0.0000,14.0200
27/07/2015,104.8600,0.0000,13.9200
28/07/2015,105.0200,0.0000,14.0200
29/07/2015,105.1700,0.0000,14.1500
30/07/2015,104.2700,0.0000,14.0900
31/07/2015,104.9300,0.0000,14.0800
03/08/2015,104.1000,0.0000,13.8700
04/08/2015,104.3100,0.0000,13.9200
05/08/2015,103.9300,0.0000,13.9500
06/08/2015,104.3900,0.0000,13.9900
07/08/2015,104.6500,0.0000,14.1100
10/08/2015,105.7200,0.0000,14.5400
11/08/2015,106.2600,0.0000,14.6400
12/08/2015,107.7500,0.0000,14.8200
13/08/2015,106.8600,0.0000,14.7100
14/08/2015,106.8500,0.0000,14.5500
17/08/2015,107.1300,0.0000,14.6300
18/08/2015,107.1100,0.0000,14.2200
19/08/2015,108.5500,0.0000,14.5700
20/08/2015,110.4400,0.0000,14.7800
21/08/2015,111.1300,0.0000,14.6100
24/08/2015,110.5300,0.0000,14.1300
25/08/2015,109.1600,0.0000,13.9900
26/08/2015,107.6700,0.0000,13.5600
27/08/2015,107.7300,0.0000,13.8000
28/08/2015,108.7000,0.0000,13.9200
31/08/2015,108.8200,0.0000,13.9900
01/09/2015,109.2000,0.0000,13.9400
02/09/2015,108.6200,0.0000,14.0200
03/09/2015,107.8400,0.0000,14.0200
04/09/2015,107.4900,0.0000,13.9200
08/09/2015,107.5200,0.0000,14.1200
09/09/2015,106.1300,0.0000,13.9300
10/09/2015,106.3800,0.0000,13.9900
11/09/2015,106.1600,0.0000,13.9500
14/09/2015,106.2200,0.0000,13.7900
15/09/2015,105.9000,0.0000,13.7700
16/09/2015,107.3100,0.0000,14.2200
17/09/2015,108.4100,0.0000,14.4200
18/09/2015,109.2100,0.0000,14.4700
21/09/2015,108.5300,0.0000,14.4900
22/09/2015,107.7900,0.0000,14.1400
23/09/2015,108.2200,0.0000,14.1200
24/09/2015,110.4900,0.0000,14.4300
25/09/2015,109.8100,0.0000,14.4000
28/09/2015,108.4200,0.0000,13.9400
29/09/2015,107.9800,0.0000,13.9700
30/09/2015,106.8600,0.0000,13.8700
01/10/2015,106.7300,0.0000,13.9000
02/10/2015,108.9900,0.0000,14.5500
05/10/2015,108.7700,0.0000,14.8900
06/10/2015,109.8600,0.0000,15.0700
07/10/2015,109.7000,0.0000,15.2900
08/10/2015,109.1400,0.0000,14.9900
09/10/2015,110.8700,0.0000,15.1200
12/10/2015,111.3100,0.0000,15.1300
13/10/2015,111.8600,0.0000,15.1600
14/10/2015,113.8100,0.0000,15.4200
15/10/2015,113.2900,0.0000,15.3900
16/10/2015,112.4900,0.0000,15.2800
19/10/2015,112.0200,0.0000,15.1100
20/10/2015,112.7300,0.0000,15.1900
